OperatorID,OperatorName_Zh_tw,Telephone,Email,Address,BAN
CYQ66009805,溪口鄉公所,,,,66009805
HSZ70369154,俥亭停車事業股份有限公司,,,,70369154
HSZ80501940,筌壹企業股份有限公司,,,,80501940
HSZ72758236,永兆企業社,,,,72758236
HSZ46806508,新竹市政府(HSZ),,,,46806508
HSZ89483140,岳洋股份有限公司,,,,89483140
HSZ84285629,惠隆資訊股份有限公司,,,,84285629
HSZ53382415,日維國際股份有限公司,,,,53382415
10614013,多功能企業社 ,03-8465535,test@123.com,花蓮市富裕二街29號旁,10614013
HUA90867566,安盛物業管理顧問股份有限公司,,,,90867566
HUA83235398,旭電馳科研股份有限公司,,,,83235398
HUA28858068,台灣普客二四股份有限公司,,,,28858068
HUA70369154,俥亭停車事業股份有限公司,,,,70369154
HUA22763918,辰淵企業股份有限公司,,,,22763918
HUA80304384,日月亭股份有限公司,,,,80304384
HUA25019060,遠雄海洋公園股份有限公司,,,,25019060
94607424,門諾醫院,03-8241098,test@123.com,花蓮市民權路44號,94607424
HUA54010552,陽明企業有限公司,,,,54010552
85051937,台灣麒哥實業有限公司,0958-711823,test@123.com,花蓮市中山路408-5號旁,85051937
HUA91591308,瑋翔工程行,,,,91591308
HUA97100722,龍昌大樓機電管理顧問股份有限公司,,,,97100722
HUA53999925,福品旅店有限公司,,,,53999925
HUA98273932,財團法人臺灣生活美學基金會,,,,98273932
97329493,助安企業,0985-902405,test@123.com,花蓮市中山路與北濱街交叉口,97329493
87344137,佑昌企業社,0972-801883,test@123.com,花蓮市國聯一路18號旁,87344137
HUA66268751,北台國際開發有限公司,,,,66268751
HUA80118614,成佳財企業有限公司,,,,80118614
HUA16738841,新美崙企業,,,,16738841
HUA85207468,新康企業,,,,85207468
HUA83279070,山海土地開發有限公司,,,,83279070
HUA83381764,鈺恮有限公司,,,,83381764
53297327,倡鈺科技工業有限公司,0939-008791,test@123.com,吉安鄉中正路一段151號,53297327
13124285,紅典建設開發股份有限公司,0937-467343,test@123.com,花蓮市明禮路7-1號旁,13124285
42958475,建程開發企業有限公司,0972-791802,test@123.com,花蓮市自由街與福建街交叉路口,42958475
HUA83278987,茂益投資開發有限公司,,,,83278987
22763918,辰淵企業股份有限公司,03-8329048,test@123.com,花蓮市三民街1-1號,22763918
HUA58019180,福廣管理顧問有限公司,,,,58019180
HUA28984733,遠東百貨股份有限公司花蓮和平分公司,,,,28984733
HUA86711789,國雲公寓大廈管理維護股份有限公司,,,,86711789
HUA53478410,丞捷建設有限公司,,,,53478410
HUA12994664,汶宏企業社,,,,12994664
HUA47041994,藶峰有限公司,,,,47041994
HUA83491663,謙誠不動產有限公司,,,,83491663
37993678,彪吉利停車場,0919-534881,test@123.com,花蓮市國聯一路108-138號,37993678
HUA89483140,岳洋股份有限公司,,,,89483140
HUA13124285,紅典建設開發股份有限公司,,,,13124285
HUA53297327,倡鈺科技工業有限公司,,,,53297327
HUA27940499,香港商世界健身事業有限公司台灣分公司,,,,27940499
HUA87344137,佑昌企業社,,,,87344137
HUA28562261,百達開發有限公司,,,,28562261
HUA24685973,潛錩規劃行銷有限公司,,,,24685973
HUA85056975,東芥投資控股有限公司,,,,85056975
HUA80738683,台灣國際開發事業有限公司,,,,80738683
HUA94504503,花蓮縣政府-交通科,,,,94504503
HUA42958475,建程開發企業有限公司,,,,42958475
HUA54814741,華慶國際投資有限公司,,,,54814741
HUA53601523,鼎豐國際開發股份有限公司,,,,53601523
HUA85051937,台灣麒哥實業有限公司,,,,85051937
HUA54979686,葛瑪蘭休閒事業股份有限公司,,,,54979686
HUA70393302,博客停車場開發股份有限公司,,,,70393302
HUA78031438,東京企業社,,,,78031438
HUA54811358,奕首建設有限公司,,,,54811358
28984733,遠東百貨股份有限公司花蓮和平分公司,03-8355588,test@123.com,花蓮市和平路581號,28984733
,,NULL,test@123.com,花蓮市商校街234號旁,
HUA97329493,助安企業有限公司,,,,97329493
58019180,福廣管理顧問有限公司,0937-166023,test@123.com,花蓮市明心街1-38號旁,58019180
90831316,統冠聯合超商股份有限公司重慶分公司,03-8355987,test@123.com,花蓮市重慶路415號,90831316
80738683,台灣國際開發事業有限公司,0926-183320,test@123.com,花蓮市中正路600號,80738683
HUA84248322,統冠聯合超商股份有限公司重慶分公司,,,,84248322
HUA27579258,富誠綜合物業管理股份有限公司,,,,27579258
HUA82182231,政虹開發企業社,,,,82182231
80118614,成佳財企業有限公司,0952-980280,test@123.com,花蓮市中央路三段707號,80118614
HUA04153230,文化部,,,,04153230
HUA10614013,多功能企業社,,,,10614013
HUA87970329,永盛企業社,,,,87970329
HUA91150196,林森企業社,,,,91150196
HUA87546372,泰旭國際有限公司,,,,87546372
53599694,新開股份有限公司,03-8313777,test@123.com,花蓮市中華路144號,53599694
82182231,政虹開發企業社,03-8333916,test@123.com,花蓮市福町路成功街口,82182231
52882567,百銓企業有限公司,0928-901856,test@123.com,花蓮市新港街77號,52882567
85056975,東芥投資控股有限公司,0987-169535,test@123.com,花蓮市重慶路480號旁,85056975
24450981,宜舍企業股份有限公司,(02)8261 9880,,臺北市南港區忠孝東路6段66號1樓,24450981
53898519,翔赫企業有限公司,0937626880,,高雄市左營區榮總路183巷21號7樓之1,53898519
70369154,俥亭停車事業股份有限公司,(02)27888750,,臺北市南港區忠孝東路6段66號,70369154
22763918,辰淵企業股份有限公司,(02)2917 3729,,新北市汐止區新台五路1段102號8樓,22763918
42819875,蔚穩有限公司,0963066773,,高雄市三民區義永路23巷48弄4號,42819875
70576576,中工公寓大廈管理維護有限公司,(02)87878993,,臺北市松山區東興路12號2樓,70576576
28371994,寶盛國際股份有限公司,(02)26550818,,臺北市南港區三重路19之5號2樓,28371994
12681939,阜爾運通股份有限公司,(02)2248 8958,,新北市中和區中山路2段327巷10號4樓,12681939
28858068,台灣普客二四股份有限公司,(02)25046098,,臺北市中山區松江路87號3樓,28858068
80682490,歐特儀股份有限公司,(02)87710258,,臺北市中正區仁愛路2段99號5樓,80682490
12745271,竑穗興業股份有限公司,(04)23019699,,臺中市西區英才路530號10樓之5,12745271
50885758,和雲行動服務股份有限公司,(02)25185299,,高雄市小港區永順街15之6號,50885758
25147332,五都停車場股份有限公司,(04)23388515,,臺中市烏日區高鐵五路156號10樓之1,25147332
80304384,日月亭股份有限公司,(02)27888750,,臺北市南港區忠孝東路6段66號,80304384
15756996,高雄市政府交通局,07-2299836,,高雄市新興區中正三路25號8樓,15756996
97317757,詮營股份有限公司,(02)77310361,,臺北市內湖區行愛路77巷11號5樓,97317757
82197305,舞動陽光有限公司,0225920055,su19658@yahoo.com.tw,台北市大同區大龍街51號,82197305
33029464,中興電工機械股份有限公司,0226550818,service@dodohome.com.tw,台北市南港區三重路19-5號2樓,33029464
KEE16777442,大日開發有限公司,,,,16777442
52492792,悠勢科技股份有限公司,0287718502,service@uspace.city,台北市大安區忠孝東路四段169號11樓之1,52492792
02550590,基隆區漁會,0224693606,keelungfishport@gmail.com,基隆市中正區北寧路211號,02550590
72805630,富山事業有限公司基隆市信義區六合營業所,0224662053,fushangroup@gmail.com,新北市土城區立雲街5巷1號,72805630
54105706,宏岳國際有限公司,0224635452,info@hpipark.org,基隆市中正區平一路360號,54105706
28726861,舞動陽光有限公司,0225920055,service@wdygsports.com.tw,台北市大同區大龍街51號,28726861
92794317,力揚停車場設備股份有限公司,0224551299,lyparking@hotmail.com,基隆市七堵區俊賢路59號5樓,92794317
KEE28726861,舞動陽光有限公司,,,,28726861
KEE70369154,俥亭停車事業股份有限公司,,,,70369154
KEE50885758,和雲行動服務股份有限公司,,,,50885758
KEE80682490,歐特儀股份有限公司,,,,80682490
24450981,宜舍企業股份有限公司,0224269489,info@hpipark.org,基隆市中正區和一路2巷,24450981
82202975,舞動陽光有限公司,0225920055,su19658@yahoo.com.tw,大同區大龍街51號,82202975
72882495,力揚停車場設備股份有限公司,0224551299,lyparking@hotmail.com,基隆市七堵區俊賢路59號5樓,72882495
72852534,力揚停車場設備股份有限公司,0224551299,lyparking@hotmail.com,基隆市七堵區俊賢路59號5樓,72852534
42219943,大日開發有限公司,0224267157,dari25420001@gmail.com,臺北市中山區建國北路二段258巷27號1樓,42219943
KEE54866000,富山事業有限公司,,,,54866000
54010552,陽明企業有限公司,02-24368200,po741tw@yahoo.com.tw,新北市力行路一段89巷10號3樓,54010552
72635093,力揚停車場設備股份有限公司,0224551299,lyparking@hotmail.com,基隆市七堵區俊賢路59號5樓,72635093
70369154,俥亭停車事業股份有限公司,0227888750,in_out_car@youparking.com.tw,115-025台北市南港區忠孝東路六段66號1樓,70369154
50885758,和雲行動服務股份有限公司,0800024550,HLC@mail.hotaimotor.com.tw,北市中山區長安東路2段99號5樓,50885758
87547338,力揚停車場設備股份有限公司,0224551299,lyparking@hotmail.com,基隆市七堵區俊賢路59號5樓,87547338
KEE80186859,安庭公寓大廈管理維護股份有限公司,,,,80186859
92571049,陽明企業有限公司,0224281210,po741tw@yahoo.com.tw,基隆市仁愛區南榮路509巷2號,92571049
KEE33029464,中興電工機械股份有限公司,,,,33029464
80304384,日月亭股份有限公司,0224257730,info@hpipark.org,基隆市仁愛區仁二路135號B1,80304384
72882930,力揚停車場設備股份有限公司,0224551299,lyparking@hotmail.com,基隆市七堵區俊賢路59號5樓,72882930
92762321,非凡物業管理顧問有限公司八尺門停車場,0224661919,feifan25194284@gmail.com,基隆市中正區和一路2巷11之28號東南側,92762321
80682490,歐特儀股份有限公司,0227057716,service.mail@altob.com.tw,台北市中正區仁愛路二段99號5樓,80682490
00277104,臺灣港務股份有限公司基隆港務分公司,0224206441,billlin@twport.com.tw,基隆市中正區中正路1號,00277104
KEE84136348,力揚停車場設備股份有限公司,,,,84136348
16777442,大日開發有限公司,0224262121,dari25420001@gmail.com,臺北市中山區建國北路二段258巷27號1樓,16777442
91669804,力揚停車場設備股份有限公司,0224265609,lyparking@hotmail.com,基隆市信義區信二路40號(中興國小停車場),91669804
91266703,安停股份有限公司,0225632408,parking200@gmail.com,臺北市中山區長安東路二段170號3F,91266703
72884374,力揚停車場設備股份有限公司,0224551299,lyparking@hotmail.com,基隆市七堵區俊賢路59號5樓,72884374
41227311,力揚停車場設備股份有限公司,0224288514,lyparking@hotmail.com,基隆市仁愛區南榮路509巷2號,41227311
91613078,舞動陽光有限公司-基隆安和營業所,0224335365,mail@parkinsys.com.tw,台北市內湖區行愛號77號,91613078
23718770,安停股份有限公司,0225632408,parking200@gmail.com,臺北市中山區長安東路二段170號3F,23718770
82160102,非凡物業管理顧問有限公司和平島停車場,0224661919,feifan25194284@gmail.com,基隆市中正區和一路2巷內,82160102
84136348,力揚停車場設備股份有限公司,0224551299,lyparking@hotmail.com,基隆市七堵區俊賢路59號5樓,84136348
KIN54619682,國雲科技股份有限公司,,,,54619682
LIE50729011,連江縣交通旅遊局,,,,50729011
MIA28917783,可羚有限公司,,,,28917783
MIA12745271,竑穗興業股份有限公司,,,,12745271
MIA86711789,國雲公寓大廈管理維護股份有限公司,,,,86711789
MIA54866000,富山事業有限公司,,,,54866000
MIA33029464,中興電工機械股份有限公司,,,,33029464
MIA24604297,大車江有限公司,,,,24604297
MIA25087904,汎揚興業股份有限公司,,,,25087904
MIA28910156,尚順開發股份有限公司,,,,28910156
MIA54239682,傳忠有限公司,,,,54239682
MIA16766579,誼光國際公寓大廈管理維護股份有限公司,,,,16766579
MIA79985307,信業企業有限公司,,,,79985307
MIA24286223,聯永物業股份有限公司,,,,24286223
MIA28858068,台灣普客二四股份有限公司,,,,28858068
MIA53528208,飛璜開發有限公司,,,,53528208
MIA28371994,寶盛國際股份有限公司,,,,28371994
NAN61612208,南投縣草屯鎮公所,,,,61612208
NAN27452532,粨鴻科技有限公司,,,,27452532
NAN62700806,南投縣竹山鎮公所,,,,62700806
NAN61087513,珺翊股份有限公司,,,,61087513
NAN61613902,集集鎮公所,,,,61613902
NAN62303601,南投縣魚池鄉公所,,,,62303601
NAN61605001,南投縣南投市公所,,,,61605001
NAN62592807,國立臺大實驗林管理處,,,,62592807
NAN12810504,文昌有限公司,,,,12810504
undefined72563936,南投縣風景區管理所,,,,72563936
PIF24991332,優停工程有限公司,,,,24991332
PIF54619682,國雲科技股份有限公司,,,,54619682
PIF47926170,俥亭停車事業股份有限公司,,,,47926170
PIF80738683,台灣國際開發事業有限公司,,,,80738683
PIF12745271,竑穗興業股份有限公司,,,,12745271
TXG82515580,續業企業有限公司,,,,82515580
TXG12745271,竑穗興業(股)公司,,,,12745271
TXG54951202,大地創業股份有限公司,,,,54951202
TXG82950746,豐義事業有限公司,,,,82950746
TXG80682490,歐特儀股份有限公司,,,,80682490
TXG10964897,愛巢有限公司,,,,10964897
TXG28877059,新澤科技股份有限公司,,,,28877059
TXG64912334,富鴻達國際事業有限公司,,,,64912334
TXG84136348,力揚停車場設備股份有限公司,,,,84136348
TXG24604297,大車江有限公司,,,,24604297
TXG42590400,大合開發股份有限公司,,,,42590400
TXG16567240,永耕建設股份有限公司,,,,16567240
TXG42883193,黃金能量有限公司,,,,42883193
TXG83504040,五百戶科技股份公司,,,,83504040
TXG45124239,大地管理顧問有限公司,,,,45124239
TXG33029464,中興電工機械股份有限公司,,,,33029464
TXG85038288,益昕有限公司,,,,85038288
TXG50827574,宇恆國際企業有限公司,,,,50827574
TXG53498197,大車河有限公司,,,,53498197
TXG82543299,金富翌有限公司,,,,82543299
TXG52864569,億鉑科技有限公司,,,,52864569
TXG28572633,可樂停車場股份有限公司,,,,28572633
TXG80304384,日月亭(股)公司,,,,80304384
TXG97382813,進全機械有限公司,,,,97382813
TXG10927578,臺中市政府交通局停車管理處,,,,10927578
TXG28562261,百達開發有限公司,,,,28562261
TXG28726861,舞動陽光有限公司,,,,28726861
TXG50885758,和雲行動服務股份有限公司,,,,50885758
TXG27791884,大乘科技有限公司,,,,27791884
TXG53129791,日隆興業有限公 司,,,,53129791
TXG25017507,泰旭國際有限公司,,,,25017507
TXG89187210,大漁停車有限公司,,,,89187210
TXG28371994,寶盛國際股份有限公司,,,,28371994
TXG55896712,誠泰資產管理股份有限公司,,,,55896712
TXG80738683,台灣國際開發事業有限公司,,,,80738683
TXG24286223,聯永物業(股)公司,,,,24286223
TXG80118614,成佳財企業,,,,80118614
TXG28077459,台灣全聚德股份有限公司,,,,28077459
TXG54619682,國雲科技股份有限公司,,,,54619682
TXG16798312,中工管理顧問有限公司,,,,16798312
TXG25087904,汎揚興業(股)公司,,,,25087904
TXG61087513,珺翊公司,,,,61087513
97100722,龍昌大樓機電管理顧問股份有限公司,02-26084760 ,w631w631@yahoo.com.tw,台南南區機場路775號B1,97100722
54555420,燦驛股份有限公司,06-2289846,yi5m2840@pss-group.com,台南市中西區海安路一段188號B1,54555420
85766716,昱興國際有限公司,0933342209,s221099.s603@msa.hinet.net,台南市新市區新北段127及143地號,85766716
12745271,竑穗興業股份有限公司,0800-208333,yi5m2840@pss-group.com,台中市西區英才路530號10樓之五,12745271
24450981,宜舍企業股份有限公司,0800-021-111,in_out_car@youparking.com.tw,115-025台北市南港區忠孝東路六段66號1樓,24450981
25147332,五都停車場股份有限公司,04-23369014,a0423369014@gmail.com,臺中市烏日區高鐵五路156號10樓之1,25147332
97317757,詮營股份有限公司,02-27918686,chiuen@parkinsys.com.tw,台北市內湖區行愛路77巷11號5樓,97317757
28371994,寶盛國際股份有限公司,02-26550818,service@dodohome.com.tw,台南市東區大學路西段67號旁停車場,28371994
50885758,和雲行動服務股份有限公司,(02)2504-6290,VANS0519@hotaimotor.com.tw,台北市中山區長安東路二段99號5樓,50885758
80304384,日月亭股份有限公司,0800-021-111,in_out_car@youparking.com.tw,台北市南港區忠孝東路六段66號1樓,80304384
80682490,歐特儀股份有限公司,02-27057716,service@greenparking.com.tw,台北市中正區仁愛路2段99號5樓,80682490
50822121,台灣國際開發事業有限公司台南分公司,06-2087743,service@greenparking.com.tw,台南市東區大學路西段53號西側,50822121
70369154,俥亭停車事業股份有限公司,0800-021-111,in_out_car@youparking.com.tw,台北市南港區忠孝東路六段66號1樓,70369154
80682490,歐特儀股份有限公司,02-27057716,lancelin47@gmail.com,台北市中正區仁愛路2段99號5樓,80682490
21101573,臺北市停車管理工程處,02-27590666,pma@mail.taipei.gove.tw,松德路300號,21101573
28652185,正好停股份有限公司,02-27212389,goodpark@goodpark,內湖路一段,28652185
TTT93506428, 東基醫療財團法人台東基督教醫院,,,,93506428
TTT54619682,國雲科技股份有限公司,,,,54619682
TTT12745271,竑穗興業股份有限公司,,,,12745271
TTT93506601,臺東縣政府,,,,93506601
TTT08109279,台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,,,,08109279
TTT07524729,交通部臺灣鐵路管理局,,,,07524729
TTT24894367,鴻瑞實業有限公司,,,,24894367
TTT54177715,城市商旅股份有限公司,,,,54177715
TTT93503908,衛生福利部臺東醫院,,,,93503908
TTT93504006,國立臺東大學,,,,93504006
TTT93501205,太麻里鄉公所,,,,93501205
TTT74913136,行政院農業委員會林務局台東林區管理處,,,,74913136
TTT89441178,誼光保全股份有限公司,,,,89441178
TTT47759659,阿華企業社,,,,47759659
TTT80738683,台灣國際開發事業有限公司,,,,80738683
TTT53980926,旗魚金典商務大飯店股份有限公司,,,,53980926
TTT08121196,交通部觀光局東部海岸國家風景區管理處,,,,08121196
TTT81299326,富綠汽車停車場,,,,81299326
TTT93716493,交通部民用航空局臺東航空站,,,,93716493
TTT93503604,長濱鄉公所,,,,93503604
TTT86754604,日觀實業股份有限公司,,,,86754604
TAO70369154,俥亭停車事業股份有限公司,,,,70369154
TAO28371994,寶盛國際股份有限公司,,,,28371994
TAO86711789,國雲公寓大廈管理維護股份有限公司,,,,86711789
TAO28886682,台灣路停股份有限公司,,,,28886682
TAO80208256,聯中誠有限公司,,,,80208256
TAO89483140,岳洋股份有限公司,,,,89483140
TAO69595548,富士捷國際有限公司,,,,69595548
TAO24450981,宜舍企業股份有限公司,,,,24450981
TAO80304384,日月亭股份有限公司,,,,80304384
TAO28852536,國棟電信工程股份有限公司,,,,28852536
TAO80682490,歐特儀股份有限公司,,,,80682490
TAO54868703,大新機電有限公司,,,,54868703
TAO82950746,豐義事業有限公司,,,,82950746
TAO54875697,智驛科技有限公司,,,,54875697
TAO28498748,新利昇事業有限公司,,,,28498748
TAO12886362,成特實業有限公司,,,,12886362
TAO50994664,成睿工程有限公司,,,,50994664
TAO25087904,汎揚興業股份有限公司,,,,25087904
TAO34237757,成祥交通有限公司,,,,34237757
TAO55896712,誠泰資產管理股份有限公司,,,,55896712
TAO84136348,力揚停車場設備股份有限公司,,,,84136348
40401902,宜蘭縣風景區管理所,(03) 9328822 ,planning2@mail.e-land.gov.tw,宜蘭縣宜蘭市同慶街95號,40401902
86517413,台灣聯通停車場開發股份有限公司,02-25235000,yenchen@sfsu.edu,台北市中山區民生東路一段51號9樓,86517413
56554778,宜蘭縣立南安國民中學,(03)9962317,kshj09250811@tmail.ilc.edu.tw,宜蘭縣蘇澳鎮學府路117號,56554778
40401902,宜蘭縣風景區管理所,(03) 9328822 ,planning2@mail.e-land.gov.tw,宜蘭縣宜蘭市同慶街95號,40401902
70810572,國光汽車客運股份有限公司,02-23810731,"
      ",台北市中正區許昌街17號四樓,70810572
40401902,宜蘭縣政府工商旅遊處遊憩管理科,(03) 9328822 ,planning2@mail.e-land.gov.tw,宜蘭縣宜蘭市同慶街95號,40401902
99424043,宜蘭縣立蘭陽博物館,(03)977-9700,lymuseum@mail.e-land.gov.tw,宜蘭縣頭城鎮港口里青雲路3段750號,99424043
85565675,楊志偉地政士事務所,039573220,ycwagent@gmail.com,宜蘭縣羅東鎮純精路3段105號5樓之1,85565675
27858527,驛車房有限公司,02-29449524,"
      ",新北市永和區民族街182巷5號3樓,27858527
42011922,羅東鎮公所, (03)9545102,nn010@mail.e-land.gov.tw,宜蘭縣羅東鎮中興路三號,42011922
54239682,傳忠有限公司,(03) 4793802,"
      ",桃園市龍潭區龍星里龍華路245號2樓,54239682
42003535,財團法人天主教靈醫會羅東聖母醫院,03-9544106,service@smh.org.tw,宜蘭縣羅東鎮中正南路160號,42003535
40401902,宜蘭縣政府文化局羅東文化工場,(03) 9328822 ,planning2@mail.e-land.gov.tw,宜蘭縣宜蘭市同慶街95號,40401902
80665204,廣朋實業股份有限公司, 02-25683383,"
      ",台北市中山區長安東路一段18號7樓,80665204
73760484,宜蘭縣蘇澳鎮南安國民小學, (03)9962664,cjs123@ilc.edu.tw,宜蘭縣蘇澳鎮學府路122號,73760484
53056468,群晟開發實業有限公司,"
      ","
      ",臺中市南屯區大同里大墩五街84號,53056468
28906575,金卯事業有限公司,"
      ","
      ",宜蘭縣五結鄉協和村公園路311巷19號1樓,28906575
12745271,竑穗興業股份有限公司,04-23019699,"
      ",台中市西區英才路530號10樓之5,12745271
28858068,普客二四股份有限公司,02-2504-6098,park24@gmail.com,台北市松江路87號3樓 帝國大廈,28858068
24298945,銪利興業有限公司,02-22504586,"
      ",新北市板橋區雙十路二段47巷19號2樓,24298945
50714328,順彥企業社,"
      ","
      ",宜蘭縣宜蘭市民權里中山路二段39號一樓,50714328
42011922,羅東鎮公所公有市場管理所, (03)9545102,nn010@mail.e-land.gov.tw,宜蘭縣羅東鎮中興路三號,42011922
72632032,清標停車場,"
      ","
      ",宜蘭縣員山鄉枕山村枕山路135-5號一樓,72632032
40401902,蘇澳鎮公所,(03) 9328822 ,planning2@mail.e-land.gov.tw,宜蘭縣宜蘭市同慶街95號,40401902
40401902,宜蘭縣政府工商旅遊處遊憩管理科,(03) 9328822 ,planning2@mail.e-land.gov.tw,宜蘭縣宜蘭市同慶街95號,40401902
40405409,臺北榮民總醫院員山分院, 039222141,hychiang@vghtpe.gov.tw,宜蘭縣員山鄉內城村榮光路386號,40405409
42001500,冬山鄉公所,(03)9591105,dungshan@mail.e-land.gov.tw,宜蘭縣冬山鄉冬山路100號,42001500
23615486,力麗觀光開發股份有限公司,02-21002128,"
      ",臺北市中山區松江路162號3樓,23615486
37973693,公正平面停車場,"
      ","
      ",宜蘭縣羅東鎮公正路199號(北門空地),37973693
28357634,麗陽股份有限公司,0800-533-999,"
      ",台北市內湖區內湖路一段246號3樓 ,28357634
97008719,友愛國際股份有限公司,03-9369936,"
      ",宜蘭縣宜蘭市舊城東路50號,97008719
41671002,林務局羅東林區管理處,(03)9546816,a0615@forest.gov.tw,26548宜蘭縣羅東鎮中正北路118號,41671002
97008719,友愛國際股份有限公司,03-9369936,"
      ",宜蘭縣宜蘭市舊城東路50號,97008719
39978060,林場停車場,"
      ","
      ",宜蘭縣羅東鎮中山里浮崙巷60號1樓,39978060
40401902,礁溪鄉公所,(03) 9328822 ,planning2@mail.e-land.gov.tw,宜蘭縣宜蘭市同慶街95號,40401902
84611103,兆船實業有限公司,03 933 3797,"
      ",宜蘭縣宜蘭市女中路三段52號,84611103
40401902,宜蘭縣政府,(03) 9328822 ,planning2@mail.e-land.gov.tw,宜蘭縣宜蘭市同慶街95號,40401902
72818065,成祥交通有限公司, (02) 22504586,"
      ",新北市板橋區文化路2段574號,72818065
66252929,宜蘭縣北成國民小學,(03)9512626,ing41ja@tmail.ilc.edu.tw,宜蘭縣羅東鎮北成路一段125號,66252929
70369154,俥亭停車事業股份有限公司,(02) 27888750,in_out_car@youparking.com.tw,臺北市南港區忠孝東路6段66號,70369154
26106886,利騰企業社,"
      ","
      ",宜蘭縣羅東鎮賢文里興東路23―2號2樓,26106886
53538851,歐付寶電子支付股份有限公司,(02)2655-0115,"
      ",台北市南港區三重路19之2號5樓,53538851
45118546,昌泰事業股份有限公司,"
      ","
      ",宜蘭縣頭城鎮城南里東興街95號3樓,45118546
40401902,宜蘭縣政府,(03) 9328822 ,planning2@mail.e-land.gov.tw,宜蘭縣宜蘭市同慶街95號,40401902
40406603,國立陽明大學附設醫院,039325192*1335,lanna@ymuh.ym.edu.tw,宜蘭市新民路152號三樓總務室,40406603
40401902,宜蘭縣政府工商旅遊處遊憩管理科,(03) 9328822 ,planning2@mail.e-land.gov.tw,宜蘭縣宜蘭市同慶街95號,40401902
40401902,宜蘭縣政府工商旅遊處遊憩管理科,(03) 9328822 ,planning2@mail.e-land.gov.tw,宜蘭縣宜蘭市同慶街95號,40401902
40401902,宜蘭縣政府警察局(交通警察隊),(03) 9328822 ,planning2@mail.e-land.gov.tw,宜蘭縣宜蘭市同慶街95號,40401902
22632590,江陵機電股份有限公司,(02) 2911-5588,"
      ",新北市新店區北新路3段213號16樓,22632590
40401902,蘇澳鎮公所,(03) 9328822 ,planning2@mail.e-land.gov.tw,宜蘭縣宜蘭市同慶街95號,40401902
42953583,永鴻停車場有限公司,"
      ","
      ",宜蘭縣宜蘭市校舍二路20巷1號1樓,42953583
2415271,國立宜蘭大學,(03)935-7400,csie@niu.edu.tw,宜蘭縣宜蘭市神農路一段1號,2415271
40594751,宜蘭縣大同鄉旅遊服務中心,(03)9802038,4165@mail.e-land.gov.tw,宜蘭縣大同鄉林家巷2-15號,40594751
40401902,宜蘭縣政府文化局,(03) 9328822 ,planning2@mail.e-land.gov.tw,宜蘭縣宜蘭市同慶街95號,40401902
22763918,辰淵企業股份有限公司,02-29173729,"
      ",基隆市七堵區工東街22號9樓,22763918
53558292,萬洲通國際企業有限公司,02 2345 0515,"
      ",台北市信義區吳興街364巷1號1樓,53558292
53346946,正承建設有限公司,"
      ","
      ", 新北市板橋區雙十路2段191之1號(2樓),53346946
40401902,宜蘭縣立體育場,(03) 9328822 ,planning2@mail.e-land.gov.tw,宜蘭縣宜蘭市同慶街95號,40401902
70393302,博客停車場開發股份有限公司,02-29488889,"
      ",新北市新店區安和路三段37號,70393302
